,obfuscated_ok,obfuscated_wrong,clear_ok,clear_wrong
1,41.0,29.0,44.0,26.0
2,47.0,23.0,53.0,17.0
3,8.0,62.0,17.0,53.0
4,13.0,57.0,28.0,42.0
5,59.0,11.0,61.0,9.0
6,30.0,40.0,50.0,20.0
7,60.0,10.0,62.0,8.0
8,52.0,18.0,47.0,23.0
9,8.0,62.0,29.0,41.0
10,18.0,52.0,43.0,27.0
11,33.0,37.0,28.0,42.0
12,23.0,47.0,23.0,47.0
13,63.0,7.0,64.0,6.0
14,9.0,61.0,36.0,34.0
15,35.0,35.0,51.0,19.0
16,5.0,65.0,27.0,43.0
17,53.0,17.0,55.0,15.0
18,15.0,55.0,21.0,49.0
19,51.0,19.0,42.0,28.0
20,54.0,16.0,58.0,12.0
21,22.0,48.0,31.0,39.0
22,21.0,49.0,30.0,40.0
23,15.0,55.0,28.0,42.0
24,15.0,55.0,42.0,28.0
